qid,category,system,question,answer,gold,correct,bleu,rouge_l,latency_s,n_supporting_values,mode
agg-01,aggregation,graphrag,What was the total number of malaria confirmed cases in Kano State in 2024?,"Malaria confirmed cases in Kano State for 2024: total 25,187, from 104 facility-month reports.",25187.0,True,0.0884,0.1111,0.0632,104,offline
agg-01,aggregation,baseline,What was the total number of malaria confirmed cases in Kano State in 2024?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,328 across 8 facility-month reports (note: retrieval may not cover all relevant records).",25187.0,False,0.0486,0.069,0.0169,8,baseline-offline
agg-02,aggregation,graphrag,How many facility deliveries were reported in Lagos in 2023?,"Facility deliveries in Lagos State for 2023: total 4,489, from 103 facility-month reports.",4489.0,True,0.0955,0.1176,0.0344,103,offline
agg-02,aggregation,baseline,How many facility deliveries were reported in Lagos in 2023?,"Based on the 8 most similar records retrieved, Facility deliveries totals 322 across 8 facility-month reports (note: retrieval may not cover all relevant records).",4489.0,False,0.0507,0.0714,0.0094,8,baseline-offline
agg-03,aggregation,graphrag,Total TB cases notified in Borno State in 2022?,"TB cases notified in Borno State for 2022: total 726, from 104 facility-month reports.",726.0,True,0.0884,0.1111,0.0175,104,offline
agg-03,aggregation,baseline,Total TB cases notified in Borno State in 2022?,"Based on the 8 most similar records retrieved, TB cases notified totals 48 across 8 facility-month reports (note: retrieval may not cover all relevant records).",726.0,False,0.0486,0.069,0.0087,8,baseline-offline
agg-04,aggregation,graphrag,How many ANC 1st visit contacts were recorded in Ikeja LGA in 2024?,"ANC 1st visit in Ikeja LGA for 2024: total 2,330, from 33 facility-month reports.",2330.0,True,0.0884,0.1111,0.0155,33,offline
agg-04,aggregation,baseline,How many ANC 1st visit contacts were recorded in Ikeja LGA in 2024?,"Based on the 8 most similar records retrieved, ANC 1st visit totals 505 across 8 facility-month reports (note: retrieval may not cover all relevant records).",2330.0,False,0.0486,0.069,0.0087,8,baseline-offline
cmp-01,comparison,graphrag,Which state had the highest malaria confirmed cases in 2024?,"Borno had the highest Malaria confirmed cases (26,243) for period 2024. Top results — Borno: 26,243, Kano: 25,187, Kaduna: 24,925, Lagos: 19,872, Enugu: 19,042.",Borno,True,0.0507,0.0714,0.083,511,offline
cmp-01,comparison,baseline,Which state had the highest malaria confirmed cases in 2024?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,500 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Borno,False,0.0486,0.069,0.0094,8,baseline-offline
cmp-02,comparison,graphrag,Which LGA in Kano had the most facility deliveries in 2023?,"Dala had the highest Facility deliveries (1,310) for period 2023. Top results — Dala: 1,310, Kano Municipal: 1,283, Nassarawa: 1,121.",Dala,True,0.0611,0.0833,0.0659,103,offline
cmp-02,comparison,baseline,Which LGA in Kano had the most facility deliveries in 2023?,"Based on the 8 most similar records retrieved, Facility deliveries totals 300 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Dala,False,0.0507,0.0714,0.011,8,baseline-offline
cmp-03,comparison,graphrag,Which state recorded the highest Penta 3 doses given in 2025?,"Lagos had the highest Penta 3 doses given (13,355) for period 2025. Top results — Lagos: 13,355, Enugu: 10,208, Rivers: 9,424, Borno: 9,219, Kano: 9,093.",Lagos,True,0.0486,0.069,0.1543,521,offline
cmp-03,comparison,baseline,Which state recorded the highest Penta 3 doses given in 2025?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 656 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Lagos,False,0.0467,0.0667,0.0123,8,baseline-offline
cmp-04,comparison,graphrag,Which LGA had the highest TB cases notified in 2024?,"Ikeja had the highest TB cases notified (336) for period 2024. Top results — Ikeja: 336, Alimosho: 294, Nsukka: 289, Obio-Akpor: 288, Surulere: 283.",Ikeja,True,0.0507,0.0714,0.1644,174,offline
cmp-04,comparison,baseline,Which LGA had the highest TB cases notified in 2024?,"Based on the 8 most similar records retrieved, TB cases notified totals 50 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Ikeja,False,0.0486,0.069,0.0088,8,baseline-offline
trd-01,trend,graphrag,How has immunisation coverage changed in Lagos State over the last five years?,"Penta 3 doses given in Lagos State increased by 28% between 2021 and 2025. Yearly totals — 2021: 10,473; 2022: 11,927; 2023: 12,116; 2024: 13,046; 2025: 13,355.",increased,True,0.0378,0.0,0.0474,515,offline
trd-01,trend,baseline,How has immunisation coverage changed in Lagos State over the last five years?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 670 across 6 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0467,0.0667,0.0093,6,baseline-offline
trd-02,trend,graphrag,What is the trend of malaria cases in Kano between 2020 and 2025?,"Malaria confirmed cases in Kano State increased by 3% between 2020 and 2025. Yearly totals — 2020: 23,756; 2025: 24,520.",increased,True,0.0514,0.0,0.0256,199,offline
trd-02,trend,baseline,What is the trend of malaria cases in Kano between 2020 and 2025?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 900 across 4 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0486,0.069,0.0088,4,baseline-offline
trd-03,trend,graphrag,How have facility deliveries changed in Rivers State over time?,"Facility deliveries in Rivers State increased by 1% between 2020 and 2025. Yearly totals — 2020: 3,936; 2021: 4,033; 2022: 4,013; 2023: 4,261; 2024: 4,163; 2025: 3,985.",increased,True,0.0378,0.0,0.0389,619,offline
trd-03,trend,baseline,How have facility deliveries changed in Rivers State over time?,"Based on the 8 most similar records retrieved, Facility deliveries totals 265 across 8 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0507,0.0714,0.0088,8,baseline-offline
rel-01,relationship,graphrag,Which diseases are most prevalent in northern Nigeria?,"By reported burden, the most prevalent is Malaria confirmed cases (455,381 cases). Ranking — Malaria confirmed cases: 455,381; TB cases notified: 12,556.",Malaria confirmed cases,True,0.109,0.2857,0.2239,3688,offline
rel-01,relationship,baseline,Which diseases are most prevalent in northern Nigeria?,"Most relevant record found: In 2023-08, Jere PHC 2 in Jere LGA, Borno State reported ANC 1st visit: 41; TB cases notified: 5; Penta 3 doses given: 58.",Malaria confirmed cases,False,0.0364,0.0,0.0089,0,baseline-offline
rel-02,relationship,graphrag,Which diseases are most prevalent in southern Nigeria?,"By reported burden, the most prevalent is Malaria confirmed cases (340,720 cases). Ranking — Malaria confirmed cases: 340,720; TB cases notified: 14,419.",Malaria confirmed cases,True,0.109,0.2857,0.119,3694,offline
rel-02,relationship,baseline,Which diseases are most prevalent in southern Nigeria?,"Most relevant record found: In 2023-08, Jere PHC 2 in Jere LGA, Borno State reported ANC 1st visit: 41; TB cases notified: 5; Penta 3 doses given: 58.",Malaria confirmed cases,False,0.0364,0.0,0.0133,0,baseline-offline
amb-01,ambiguous,graphrag,Where is the current outbreak?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0582,1227,offline
amb-01,ambiguous,baseline,Where is the current outbreak?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.0124,0,baseline-offline
amb-02,ambiguous,graphrag,What is the situation this month?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0275,1227,offline
amb-02,ambiguous,baseline,What is the situation this month?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.0107,0,baseline-offline
