qid,category,system,question,answer,gold,correct,bleu,rouge_l,latency_s,n_supporting_values,context_chars,context_tokens_est,mode
agg-01,aggregation,graphrag,What was the total number of malaria confirmed cases in Kano State in 2024?,"Malaria confirmed cases in Kano State for 2024: total 25,187, from 104 facility-month reports.",25187.0,True,0.0884,0.1111,0.0113,104,83,20,offline
agg-01,aggregation,baseline,What was the total number of malaria confirmed cases in Kano State in 2024?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,328 across 8 facility-month reports (note: retrieval may not cover all relevant records).",25187.0,False,0.0486,0.069,0.1047,8,1658,414,baseline-offline
agg-02,aggregation,graphrag,How many facility deliveries were reported in Lagos in 2023?,"Facility deliveries in Lagos State for 2023: total 4,489, from 103 facility-month reports.",4489.0,True,0.0955,0.1176,0.0115,103,79,19,offline
agg-02,aggregation,baseline,How many facility deliveries were reported in Lagos in 2023?,"Based on the 8 most similar records retrieved, Facility deliveries totals 322 across 8 facility-month reports (note: retrieval may not cover all relevant records).",4489.0,False,0.0507,0.0714,0.104,8,1418,354,baseline-offline
agg-03,aggregation,graphrag,Total TB cases notified in Borno State in 2022?,"TB cases notified in Borno State for 2022: total 726, from 104 facility-month reports.",726.0,True,0.0884,0.1111,0.0102,104,75,18,offline
agg-03,aggregation,baseline,Total TB cases notified in Borno State in 2022?,"Based on the 8 most similar records retrieved, TB cases notified totals 48 across 8 facility-month reports (note: retrieval may not cover all relevant records).",726.0,False,0.0486,0.069,0.1024,8,1368,342,baseline-offline
agg-04,aggregation,graphrag,How many ANC 1st visit contacts were recorded in Ikeja LGA in 2024?,"ANC 1st visit in Ikeja LGA for 2024: total 2,330, from 33 facility-month reports.",2330.0,True,0.0884,0.1111,0.0104,33,71,17,offline
agg-04,aggregation,baseline,How many ANC 1st visit contacts were recorded in Ikeja LGA in 2024?,"Based on the 8 most similar records retrieved, ANC 1st visit totals 505 across 8 facility-month reports (note: retrieval may not cover all relevant records).",2330.0,False,0.0486,0.069,0.1034,8,1330,332,baseline-offline
agg-05,aggregation,graphrag,How many Penta 3 doses given were recorded nationwide in 2025?,"Penta 3 doses given in all states for 2025: total 59,982, from 624 facility-month reports.",59982.0,True,0.0823,0.1053,0.019,624,79,19,offline
agg-05,aggregation,baseline,How many Penta 3 doses given were recorded nationwide in 2025?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 656 across 8 facility-month reports (note: retrieval may not cover all relevant records).",59982.0,False,0.0467,0.0667,0.1033,8,1302,325,baseline-offline
agg-06,aggregation,graphrag,What was the malaria confirmed cases burden in northern Nigeria in 2023?,"Malaria confirmed cases in Northern region for 2023: total 77,880, from 309 facility-month reports.",77880.0,True,0.0884,0.1111,0.0128,309,88,22,offline
agg-06,aggregation,baseline,What was the malaria confirmed cases burden in northern Nigeria in 2023?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,272 across 8 facility-month reports (note: retrieval may not cover all relevant records).",77880.0,False,0.0486,0.069,0.103,8,1365,341,baseline-offline
agg-07,aggregation,graphrag,How many ANC 4th visit contacts were reported in Rivers State in 2024?,"ANC 4th visit in Rivers State for 2024: total 4,772, from 99 facility-month reports.",4772.0,True,0.0884,0.1111,0.0099,99,74,18,offline
agg-07,aggregation,baseline,How many ANC 4th visit contacts were reported in Rivers State in 2024?,"Based on the 8 most similar records retrieved, ANC 4th visit totals 322 across 8 facility-month reports (note: retrieval may not cover all relevant records).",4772.0,False,0.0486,0.069,0.1039,8,1420,355,baseline-offline
agg-08,aggregation,graphrag,Total facility deliveries in Zaria LGA in 2022?,"Facility deliveries in Zaria LGA for 2022: total 973, from 32 facility-month reports.",973.0,True,0.0955,0.1176,0.0092,32,75,18,offline
agg-08,aggregation,baseline,Total facility deliveries in Zaria LGA in 2022?,"Based on the 8 most similar records retrieved, Facility deliveries totals 168 across 6 facility-month reports (note: retrieval may not cover all relevant records).",973.0,False,0.0507,0.0714,0.1031,6,1389,347,baseline-offline
agg-09,aggregation,graphrag,How many TB cases notified were recorded in southern Nigeria in 2024?,"TB cases notified in Southern region for 2024: total 2,459, from 310 facility-month reports.",2459.0,True,0.0884,0.1111,0.0127,310,81,20,offline
agg-09,aggregation,baseline,How many TB cases notified were recorded in southern Nigeria in 2024?,"Based on the 8 most similar records retrieved, TB cases notified totals 50 across 8 facility-month reports (note: retrieval may not cover all relevant records).",2459.0,False,0.0486,0.069,0.103,8,1321,330,baseline-offline
agg-10,aggregation,graphrag,What is the total number of malaria confirmed cases recorded in Kano State?,"Malaria confirmed cases in Kano State for all: total 149,118, from 615 facility-month reports.",149118.0,True,0.0884,0.1111,0.0107,615,83,20,offline
agg-10,aggregation,baseline,What is the total number of malaria confirmed cases recorded in Kano State?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,337 across 8 facility-month reports (note: retrieval may not cover all relevant records).",149118.0,False,0.0486,0.069,0.103,8,1531,382,baseline-offline
